Вещественное препятствие для базовых пар G-семейств ((m,n) взаимно простые, m,|n| <= 20, всего 508 штук):
| семейство | базовая пара | нет вещественных решений (доказано) | всего (m,n) |
|---|---|---|---|
| G1 | c0/c2 | 0 | 508 |
| G1 | c0/c4 | 0 | 508 |
| G1 | c0/c6 | 0 | 508 |
| G1 | c0/c8 | 0 | 508 |
| G1 | c2/c4 | 0 | 508 |
| G1 | c2/c6 | 0 | 508 |
| G1 | c2/c8 | 0 | 508 |
| G1 | c4/c6 | 0 | 508 |
| G1 | c4/c8 | 0 | 508 |
| G1 | c6/c8 | 0 | 508 |
| G2 | c1/c3 | 0 | 508 |
| G2 | c1/c4 | 0 | 508 |
| G2 | c1/c5 | 0 | 508 |
| G2 | c1/c7 | 0 | 508 |
| G2 | c3/c4 | 0 | 508 |
| G2 | c3/c5 | 0 | 508 |
| G2 | c3/c7 | 0 | 508 |
| G2 | c4/c5 | 0 | 508 |
| G2 | c4/c7 | 0 | 508 |
| G2 | c5/c7 | 0 | 508 |
| G3 | c2/c3 | 0 | 508 |
| G3 | c2/c4 | 0 | 508 |
| G3 | c2/c5 | 0 | 508 |
| G3 | c2/c6 | 0 | 508 |
| G3 | c3/c4 | 0 | 508 |
| G3 | c3/c5 | 0 | 508 |
| G3 | c3/c6 | 0 | 508 |
| G3 | c4/c5 | 0 | 508 |
| G3 | c4/c6 | 0 | 508 |
| G3 | c5/c6 | 0 | 508 |
