second_limit=14 curve 0 : nontorsion found = []   [4s]
second_limit=14 curve 1 : nontorsion found = []   [2s]
second_limit=14 curve 2 : nontorsion found = []   [2s]
second_limit=14 curve 3 : nontorsion found = [(-137854570318311286286190554/1927907948549580001 : 192166609120426558810840421222203250944/2676883315438634074013911249 : 1)]   [3s]
second_limit=16 curve 0 : nontorsion found = []   [0s]
second_limit=16 curve 1 : nontorsion found = []   [0s]
second_limit=16 curve 2 : nontorsion found = []   [0s]
second_limit=16 curve 3 : nontorsion found = [(-137854570318311286286190554/1927907948549580001 : 192166609120426558810840421222203250944/2676883315438634074013911249 : 1)]   [0s]
second_limit=18 curve 0 : nontorsion found = []   [0s]
second_limit=18 curve 1 : nontorsion found = []   [0s]
second_limit=18 curve 2 : nontorsion found = []   [0s]
second_limit=18 curve 3 : nontorsion found = [(-137854570318311286286190554/1927907948549580001 : 192166609120426558810840421222203250944/2676883315438634074013911249 : 1)]   [0s]
second_limit=20 curve 0 : nontorsion found = []   [0s]
second_limit=20 curve 1 : nontorsion found = []   [0s]
second_limit=20 curve 2 : nontorsion found = []   [0s]
second_limit=20 curve 3 : nontorsion found = [(-137854570318311286286190554/1927907948549580001 : 192166609120426558810840421222203250944/2676883315438634074013911249 : 1)]   [0s]
second_limit=22 curve 0 : nontorsion found = []   [0s]
second_limit=22 curve 1 : nontorsion found = []   [0s]
second_limit=22 curve 2 : nontorsion found = []   [0s]
second_limit=22 curve 3 : nontorsion found = [(-137854570318311286286190554/1927907948549580001 : 192166609120426558810840421222203250944/2676883315438634074013911249 : 1)]   [0s]
