  ***   Warning: new stack size = 4000000000 (3814.697 Mbytes).
ainvs [0, 0, 0, -1613212693425900, 7222574158576522830000]
effort=1 -> lo=1 hi=1 pts=[]  time=0.099000000000000000000000000000000000000s
effort=2 -> lo=1 hi=1 pts=[]  time=0.34500000000000000000000000000000000000s
effort=3 -> lo=1 hi=1 pts=[]  time=0.89900000000000000000000000000000000000s
effort=4 -> lo=1 hi=1 pts=[]  time=1.4590000000000000000000000000000000000s
effort=5 -> lo=1 hi=1 pts=[]  time=2.7330000000000000000000000000000000000s
effort=6 -> lo=1 hi=1 pts=[]  time=5.5390000000000000000000000000000000000s
effort=7 -> lo=1 hi=1 pts=[]  time=13.752000000000000000000000000000000000s
effort=8 -> lo=1 hi=1 pts=[]  time=20.396000000000000000000000000000000000s
effort=9 -> lo=1 hi=1 pts=[]  time=27.802000000000000000000000000000000000s
effort=10 -> lo=1 hi=1 pts=[]  time=32.058000000000000000000000000000000000s
effort=11 -> lo=1 hi=1 pts=[]  time=39.308000000000000000000000000000000000s
effort=12 -> lo=1 hi=1 pts=[]  time=70.511000000000000000000000000000000000s
effort=13 -> lo=1 hi=1 pts=[]  time=86.569000000000000000000000000000000000s
effort=14 -> lo=1 hi=1 pts=[]  time=135.66100000000000000000000000000000000s
effort=15 -> lo=1 hi=1 pts=[]  time=132.70800000000000000000000000000000000s
effort=16 -> lo=1 hi=1 pts=[]  time=174.10200000000000000000000000000000000s
effort=17 -> lo=1 hi=1 pts=[]  time=217.74300000000000000000000000000000000s
effort=18 -> lo=1 hi=1 pts=[]  time=199.53300000000000000000000000000000000s
effort=19 -> lo=1 hi=1 pts=[]  time=325.72300000000000000000000000000000000s
effort=20 -> lo=1 hi=1 pts=[]  time=320.72000000000000000000000000000000000s
