N=5: ранг 1, без примитивного делителя: [], прогрессий: []
N=6: ранг 1, без примитивного делителя: [], прогрессий: []
N=7: ранг 1, без примитивного делителя: [], прогрессий: []
N=13: ранг 1, без примитивного делителя: [], прогрессий: []
N=14: ранг 1, без примитивного делителя: [], прогрессий: []
N=15: ранг 1, без примитивного делителя: [], прогрессий: []
N=21: ранг 1, без примитивного делителя: [], прогрессий: []
N=22: ранг 1, без примитивного делителя: [], прогрессий: []
N=23: ранг 1, без примитивного делителя: [], прогрессий: []
N=29: ранг 1, без примитивного делителя: [], прогрессий: []
N=30: ранг 1, без примитивного делителя: [], прогрессий: []
N=31: ранг 1, без примитивного делителя: [], прогрессий: []
N=37: ранг 1, без примитивного делителя: [], прогрессий: []
N=38: ранг 1, без примитивного делителя: [], прогрессий: []
N=39: ранг 1, без примитивного делителя: [], прогрессий: []
N=46: ранг 1, без примитивного делителя: [], прогрессий: []
N=47: ранг 1, без примитивного делителя: [], прогрессий: []
