('case', 10, [0, 18, -11], 5, 1, 2, 2, True, True, True, 2.0)
('case', 7, [0, 11, -12], 4, 0, 2, 2, True, True, True, 2.0)
('case', 2, [0, 30, -13], 5, 1, 2, 2, True, True, True, 2.0)
('case', 13, [0, 31, -25], 5, 1, 2, 2, True, True, True, 2.0)
('case', 3, [0, 38, -35], 6, 2, 2, 2, True, True, True, 3.0)
('case', 3, [0, 31, -4], 5, 1, 2, 2, True, True, True, 2.0)
('case', 6, [0, 3, -28], 4, 0, 2, 2, True, True, None, 0, 1.0)
('case', 6, [0, 4, -3], 4, 0, 2, 2, True, True, None, 0, 1.0)
('case', 3, [0, 34, -1], 4, 0, 2, 2, True, True, None, 0, 1.0)
('case', 2, [0, 23, -36], 5, 1, 2, 2, True, True, True, 1, 2.0)
('case', 7, [0, 29, -17], 4, 0, 2, 2, True, True, None, 0, 1.0)
('case', 10, [0, 16, -1], 5, 1, 2, 2, True, True, True, 1, 2.0)
('case', 6, [0, 13, -9], 5, 1, 2, 2, True, True, True, 1, 2.0)
('case', 10, [0, 31, -16], 5, 1, 2, 2, True, True, True, 1, 2.0)
('case', 3, [0, 20, -21], 4, 0, 2, 2, True, True, None, 0, 2.0)
('case', 7, [0, 33, -10], 5, 1, 2, 2, True, True, True, 1, 5.0)
('case', 6, [0, 31, -3], 5, 1, 2, 2, True, True, True, 1, 4.0)
('case', 2, [0, 30, -29], 5, 1, 2, 2, True, True, True, 1, 5.0)
('case', 10, [0, 34, -35], 5, 1, 2, 2, True, True, True, 1, 7.0)
('case', 3, [0, 16, -19], 5, 1, 2, 2, True, True, True, 1, 4.0)
('case', 6, [0, 28, -15], 4, 0, 2, 2, True, True, None, 0, 2.0)
('case', 2, [0, 20, -33], 4, 0, 2, 2, True, True, None, 0, 2.0)
('case', 3, [0, 5, -14], 5, 1, 2, 2, True, True, True, 1, 4.0)
('case', 10, [0, 33, -37], 5, 1, 2, 2, True, True, True, 1, 4.0)
('case', 2, [0, 23, -1], 4, 0, 2, 2, True, True, None, 0, 2.0)
('case', 10, [0, 23, -33], 6, 2, 2, 2, True, True, True, 2, 5.0)
('case', 3, [0, 19, -10], 5, 1, 2, 0, True, True, True, 1, 5.0)
('case', 10, [0, 5, -2], 4, 0, 2, 2, True, True, None, 0, 3.0)
('case', 10, [0, 3, -7], 4, 0, 2, 2, True, True, None, 0, 3.0)
('case', 6, [0, 39, -23], 5, 1, 2, 2, True, True, True, 1, 8.0)
('case', 13, [0, 25, -31], 4, 0, 2, 2, True, True, None, 0, 2.0)
('case', 5, [0, 37, -8], 4, 0, 2, 2, True, True, None, 0, 2.0)
('case', 5, [0, 32, -7], 5, 1, 2, 2, True, True, True, 1, 5.0)
('case', 10, [0, 13, -28], 4, 0, 2, 2, True, True, None, 0, 4.0)
('case', 6, [0, 38, -1], 4, 0, 2, 2, True, True, None, 0, 3.0)
('case', 6, [0, 31, -22], 4, 0, 2, 2, True, True, None, 0, 3.0)
('case', 3, [0, 5, -38], 5, 1, 2, 2, True, True, True, 1, 6.0)
('case', 6, [0, 33, -38], 4, 0, 2, 2, True, True, None, 0, 3.0)
