CASE (1, -3, 5, 0, 1, 0, 0, 0, True, True, 0.0)
CASE (1, 1, 5, 1, 2, 0, 0, 1, True, True, 2.0)
CASE (-2, -4, 3, 1, 2, 0, 0, 1, True, True, 2.0)
CASE (3, 1, -3, 1, 2, 0, 0, 1, True, True, 2.0)
CASE (-5, 5, 2, 1, 2, 0, 0, 1, True, True, 2.0)
CASE (2, -7, 13, 0, 1, 0, 0, 0, True, True, 0.0)
CASE (5, 5, 6, 1, 2, 0, 0, 1, True, True, 1.0)
CASE (7, 5, 17, 2, 3, 0, 0, 2, True, True, 10.0)
CASE (-3, -11, 2, 1, 2, 0, 0, 1, True, True, 1.0)
CASE (6, 7, -1, 1, 2, 0, 0, 1, True, True, 2.0)
CASE (9, 2, 3, 2, 3, 0, 0, 2, True, True, 6.0)
CASE (-4, 2, 6, 1, 2, 0, 0, 1, True, True, 4.0)
CASE (1, -3, -1, 1, 2, 0, 0, 1, True, True, 3.0)
CASE (1, -3, 2, 1, 2, 0, 0, 1, True, True, 1.0)

| a | b | d | rank E(k) | dim Sel^2 | rank CTP | граница | точна | симм | диаг0 |
|---|---|---|---|---|---|---|---|---|---|
| 1 | -3 | 5 | 0 | 1 | 0 | 0 | да | True | True |
| 1 | 1 | 5 | 1 | 2 | 0 | 1 | да | True | True |
| -2 | -4 | 3 | 1 | 2 | 0 | 1 | да | True | True |
| 3 | 1 | -3 | 1 | 2 | 0 | 1 | да | True | True |
| -5 | 5 | 2 | 1 | 2 | 0 | 1 | да | True | True |
| 2 | -7 | 13 | 0 | 1 | 0 | 0 | да | True | True |
| 5 | 5 | 6 | 1 | 2 | 0 | 1 | да | True | True |
| 7 | 5 | 17 | 2 | 3 | 0 | 2 | да | True | True |
| -3 | -11 | 2 | 1 | 2 | 0 | 1 | да | True | True |
| 6 | 7 | -1 | 1 | 2 | 0 | 1 | да | True | True |
| 9 | 2 | 3 | 2 | 3 | 0 | 2 | да | True | True |
| -4 | 2 | 6 | 1 | 2 | 0 | 1 | да | True | True |
| 1 | -3 | -1 | 1 | 2 | 0 | 1 | да | True | True |
| 1 | -3 | 2 | 1 | 2 | 0 | 1 | да | True | True |
