shard 7: 1/612 (3,5) t=0s
shard 7: 11/612 (19,26) t=3s
shard 7: 21/612 (13,37) t=7s
shard 7: 31/612 (8,45) t=10s
shard 7: 41/612 (5,52) t=13s
shard 7: 51/612 (17,58) t=17s
shard 7: 61/612 (29,63) t=20s
shard 7: 71/612 (31,68) t=23s
shard 7: 81/612 (21,73) t=28s
shard 7: 91/612 (47,77) t=33s
shard 7: 101/612 (64,81) t=39s
shard 7: 111/612 (57,85) t=51s
shard 7: 121/612 (41,89) t=65s
shard 7: 131/612 (19,93) t=72s
shard 7: 141/612 (3,97) t=81s
shard 7: 151/612 (11,100) t=88s
shard 7: 161/612 (33,103) t=92s
shard 7: 171/612 (71,106) t=117s
shard 7: 181/612 (41,109) t=129s
shard 7: 191/612 (47,112) t=144s
shard 7: 201/612 (32,115) t=166s
shard 7: 211/612 (17,118) t=175s
shard 7: 221/612 (25,121) t=182s
shard 7: 231/612 (80,123) t=188s
shard 7: 241/612 (43,126) t=194s
shard 7: 251/612 (101,128) t=198s
shard 7: 261/612 (55,131) t=204s
shard 7: 271/612 (104,133) t=215s
shard 7: 281/612 (81,136) t=224s
shard 7: 291/612 (121,138) t=232s
shard 7: 301/612 (13,141) t=240s
shard 7: 311/612 (56,143) t=253s
shard 7: 321/612 (102,145) t=263s
shard 7: 331/612 (21,148) t=282s
shard 7: 341/612 (139,149) t=294s
shard 7: 351/612 (1,152) t=299s
shard 7: 361/612 (83,154) t=311s
shard 7: 371/612 (5,157) t=318s
shard 7: 381/612 (99,158) t=324s
shard 7: 391/612 (3,161) t=335s
shard 7: 401/612 (17,163) t=347s
shard 7: 411/612 (111,164) t=358s
shard 7: 421/612 (13,167) t=380s
shard 7: 431/612 (163,168) t=390s
shard 7: 441/612 (111,170) t=402s
shard 7: 451/612 (145,172) t=413s
shard 7: 461/612 (47,174) t=422s
shard 7: 471/612 (85,176) t=438s
shard 7: 481/612 (85,178) t=450s
shard 7: 491/612 (155,179) t=457s
shard 7: 501/612 (129,181) t=478s
shard 7: 511/612 (116,183) t=498s
shard 7: 521/612 (88,185) t=514s
shard 7: 531/612 (75,187) t=525s
shard 7: 541/612 (22,189) t=536s
shard 7: 551/612 (33,191) t=549s
shard 7: 561/612 (127,192) t=577s
shard 7: 571/612 (179,193) t=589s
shard 7: 581/612 (184,195) t=605s
shard 7: 591/612 (111,197) t=615s
shard 7: 601/612 (55,199) t=622s
shard 7: 611/612 (141,200) t=631s
shard 7 done, t=631s
