блок [1,100000000]: пар 39261346, найдено всего 996, ранги {3: 996}, 23s
блок [100000001,200000000]: пар 39266388, найдено всего 1442, ранги {3: 1442}, 49s
блок [200000001,300000000]: пар 39267196, найдено всего 1790, ранги {3: 1790}, 75s
блок [300000001,400000000]: пар 39267606, найдено всего 2078, ранги {3: 2078}, 102s
блок [400000001,500000000]: пар 39267892, найдено всего 2339, ранги {3: 2339}, 129s
блок [500000001,600000000]: пар 39268072, найдено всего 2576, ранги {3: 2576}, 157s
блок [600000001,700000000]: пар 39268268, найдено всего 2799, ранги {3: 2799}, 186s
блок [700000001,800000000]: пар 39268347, найдено всего 3001, ранги {3: 3001}, 215s
блок [800000001,900000000]: пар 39268399, найдено всего 3191, ранги {3: 3191}, 245s
блок [900000001,1000000000]: пар 39268546, найдено всего 3375, ранги {3: 3375}, 276s
{'A': 1000000000, 'n': 3375, 'by_type': {1: 250, 2: 1264, 3: 1861}, 'square_center': [], 'lemma_fail': [], 'rank_lt2': [], 'rank_hist': {3: 3375}, 'D_fail': [], 'max_ratio': '32017/77380', 'max_ratio_example': {'a': 619368865, 'type': 3, 'us': [27468624, 438116496, 493053744], 'cls': [101, 317], 'Pi': 32017, 'factor': '{5: 1, 53: 1, 73: 1, 101: 1, 317: 1}'}, 'nprimes_hist': {3: 1924, 4: 1327, 5: 123, 6: 1}, 'time_s': 275.7}
