3 A: {'generic': (0, 0, 0), 'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 1s
5 A: {'generic': (0, 0, 0), 'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 4s
7 A: {'generic': (0, 0, 0), 'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 8s
11 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 25), 'c': (25, 25, 25), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 12s
13 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 25), 'c': (25, 25, 25), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 17s
17 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 22), 'c': (25, 25, 24), 'bc': (25, 25, 19), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 22s
19 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 25), 'c': (25, 25, 25), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 29s
23 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 22), 'c': (25, 25, 24), 'bc': (25, 25, 24), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 35s
29 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 23), 'c': (25, 25, 23), 'bc': (25, 25, 23), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 43s
31 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 18), 'c': (25, 25, 23), 'bc': (25, 25, 23), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 50s
37 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 20), 'c': (25, 25, 24), 'bc': (25, 25, 24), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 58s
41 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (30, 210, 0), 'b-c': (30, 210, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 18), 'c': (25, 25, 25), 'bc': (25, 25, 19), 'b+c': (25, 25, 23), 'b-c': (25, 25, 21)} 63s
43 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (30, 210, 0), 'b-c': (30, 210, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 25), 'c': (25, 25, 25), 'bc': (25, 25, 24), 'b+c': (25, 25, 24), 'b-c': (25, 25, 24)} 68s
61 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (30, 210, 0), 'b-c': (30, 210, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 23), 'c': (25, 25, 21), 'bc': (25, 25, 22), 'b+c': (25, 25, 23), 'b-c': (25, 25, 23)} 73s
97 A: {'generic': (30, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (30, 210, 0), 'b-c': (30, 210, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 13), 'c': (25, 25, 21), 'bc': (25, 25, 22), 'b+c': (25, 25, 23), 'b-c': (25, 25, 23)} 78s
всего 78s
