наклон 329/449: клетки [449, -449, 329, -329, 120, -120, 778, -778]; вырожденные рациональные z на X_k: [0]
множителей 126 (из 126), время 4.7 с; ранги: 11×0 58×1 49×2 8×3; недоказанных 13; насыщение индексы>1: 0
используем: -778,-449,329 (r=1, T=[4, 2]); -778,-449,778 (r=1, T=[2, 2]); -778,-329,120 (r=1, T=[2, 2]); -778,-329,329 (r=1, T=[2, 2]); -778,-329,449 (r=1, T=[4, 2]); -778,-329,778 (r=1, T=[2, 2]); -778,-120,120 (r=1, T=[2, 2]); -778,-120,329 (r=1, T=[2, 2]); -778,-120,778 (r=1, T=[2, 2]); -778,120,449 (r=1, T=[2, 2]); -778,120,778 (r=1, T=[2, 2]); -778,329,778 (r=1, T=[2, 2]); -778,449,778 (r=1, T=[2, 2]); -449,-329,-120 (r=1, T=[4, 2]); -449,-329,449 (r=1, T=[2, 2]); -449,-120,120 (r=1, T=[2, 2])
  ('add', '-778,-449,329'): выживших 2 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,-449,778'): выживших 2 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,-329,120'): выживших 2 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,-329,329'): выживших 2 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,-329,449'): выживших 4 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,-329,778'): выживших 4 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,-120,120'): выживших 4 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,-120,329'): выживших 4 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,-120,778'): выживших 4 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,120,449'): выживших 4 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,120,778'): выживших 4 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,329,778'): выживших 4 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-778,449,778'): выживших 4 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-449,-329,-120'): выживших 8 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-449,-329,449'): выживших 8 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('add', '-449,-120,120'): выживших 8 (N=[4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,-449,329', 2): выживших 8 (N=[8, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,-449,778', 2): выживших 16 (N=[8, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,-329,120', 2): выживших 32 (N=[8, 4, 4, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,-329,329', 2): выживших 64 (N=[8, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,-329,449', 2): выживших 64 (N=[8, 4, 4, 4, 8, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,-329,778', 2): выживших 64 (N=[8, 4, 4, 4, 8, 4, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,-120,120', 2): выживших 128 (N=[8, 4, 4, 4, 8, 4, 4, 2, 2, 2, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,-120,329', 2): выживших 128 (N=[8, 4, 4, 4, 8, 4, 4, 4, 2, 2, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,-120,778', 2): выживших 128 (N=[8, 4, 4, 4, 8, 4, 4, 4, 4, 2, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,120,449', 2): выживших 256 (N=[8, 4, 4, 4, 8, 4, 4, 4, 4, 4, 2, 2, 2, 4, 2, 2])
  ('lift', '-778,120,778', 2): выживших 256 (N=[8, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 2, 2, 4, 2, 2])
  ('lift', '-778,329,778', 2): выживших 256 (N=[8, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 2])
  ('lift', '-778,449,778', 2): выживших 256 (N=[8, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2])
  ('lift', '-449,-329,-120', 2): выживших 256 (N=[8, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 4, 8, 2, 2])
  ('lift', '-449,-329,449', 2): выживших 256 (N=[8, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 4, 8, 4, 2])
  ('lift', '-449,-120,120', 2): выживших 256 (N=[8, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4])
  ('lift', '-778,-449,329', 3): выживших 256 (N=[24, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4])
  ('lift', '-778,-449,778', 3): выживших 256 (N=[24, 12, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4])
  ('lift', '-778,-329,120', 3): выживших 256 (N=[24, 12, 12, 4, 8, 4, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4])
  ('lift', '-778,-329,329', 3): выживших 256 (N=[24, 12, 12, 12, 8, 4, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4])
  ('lift', '-778,-329,449', 3): выживших 256 (N=[24, 12, 12, 12, 24, 4, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4])
