наклон 333/442: клетки [442, -442, 333, -333, 109, -109, 775, -775]; вырожденные рациональные z на X_k: [0]
множителей 126 (из 126), время 7.7 с; ранги: 2×0 38×1 52×2 30×3 2×4 2×5; недоказанных 4; насыщение индексы>1: 8
используем: -775,-442,442 (r=1, T=[2, 2]); -775,-333,-109 (r=1, T=[2, 2]); -775,-333,109 (r=1, T=[2, 2]); -775,-109,442 (r=1, T=[2, 2]); -775,-109,775 (r=1, T=[2, 2]); -775,109,775 (r=1, T=[2, 2]); -442,-333,-109 (r=1, T=[4, 2]); -442,-333,109 (r=1, T=[4, 2]); -442,-333,442 (r=1, T=[2, 2]); -442,109,775 (r=1, T=[2, 2]); -442,333,442 (r=1, T=[2, 2]); -442,442,775 (r=1, T=[2, 2]); -109,333,442 (r=1, T=[4, 2]); -109,333,775 (r=1, T=[2, 2]); 109,333,442 (r=1, T=[4, 2]); 109,333,775 (r=1, T=[2, 2])
  ('add', '-775,-442,442'): выживших 1 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-775,-333,-109'): выживших 1 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-775,-333,109'): выживших 1 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-775,-109,442'): выживших 1 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-775,-109,775'): выживших 1 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-775,109,775'): выживших 1 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-442,-333,-109'): выживших 2 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-442,-333,109'): выживших 4 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-442,-333,442'): выживших 4 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-442,109,775'): выживших 4 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-442,333,442'): выживших 4 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-442,442,775'): выживших 4 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-109,333,442'): выживших 8 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '-109,333,775'): выживших 8 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '109,333,442'): выживших 8 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('add', '109,333,775'): выживших 8 (N=[2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('lift', '-775,-442,442', 2): выживших 16 (N=[4, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('lift', '-775,-333,-109', 2): выживших 32 (N=[4, 4, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('lift', '-775,-333,109', 2): выживших 32 (N=[4, 4, 4, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('lift', '-775,-109,442', 2): выживших 64 (N=[4, 4, 4, 4, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('lift', '-775,-109,775', 2): выживших 128 (N=[4, 4, 4, 4, 4, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('lift', '-775,109,775', 2): выживших 128 (N=[4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('lift', '-442,-333,-109', 2): выживших 128 (N=[4, 4, 4, 4, 4, 4, 8, 4, 2, 2, 2, 2, 4, 2, 4, 2])
  ('lift', '-442,-333,109', 2): выживших 128 (N=[4, 4, 4, 4, 4, 4, 8, 8, 2, 2, 2, 2, 4, 2, 4, 2])
  ('lift', '-442,-333,442', 2): выживших 256 (N=[4, 4, 4, 4, 4, 4, 8, 8, 4, 2, 2, 2, 4, 2, 4, 2])
  ('lift', '-442,109,775', 2): выживших 256 (N=[4, 4, 4, 4, 4, 4, 8, 8, 4, 4, 2, 2, 4, 2, 4, 2])
  ('lift', '-442,333,442', 2): выживших 256 (N=[4, 4, 4, 4, 4, 4, 8, 8, 4, 4, 4, 2, 4, 2, 4, 2])
  ('lift', '-442,442,775', 2): выживших 256 (N=[4, 4, 4, 4, 4, 4, 8, 8, 4, 4, 4, 4, 4, 2, 4, 2])
  ('lift', '-109,333,442', 2): выживших 256 (N=[4, 4, 4, 4, 4, 4, 8, 8, 4, 4, 4, 4, 8, 2, 4, 2])
  ('lift', '-109,333,775', 2): выживших 256 (N=[4, 4, 4, 4, 4, 4, 8, 8, 4, 4, 4, 4, 8, 4, 4, 2])
  ('lift', '109,333,442', 2): выживших 256 (N=[4, 4, 4, 4, 4, 4, 8, 8, 4, 4, 4, 4, 8, 4, 8, 2])
  ('lift', '109,333,775', 2): выживших 256 (N=[4, 4, 4, 4, 4, 4, 8, 8, 4, 4, 4, 4, 8, 4, 8, 4])
  ('lift', '-775,-442,442', 3): выживших 256 (N=[12, 4, 4, 4, 4, 4, 8, 8, 4, 4, 4, 4, 8, 4, 8, 4])
  ('lift', '-775,-333,-109', 3): выживших 256 (N=[12, 12, 4, 4, 4, 4, 8, 8, 4, 4, 4, 4, 8, 4, 8, 4])
  ('lift', '-775,-333,109', 3): выживших 256 (N=[12, 12, 12, 4, 4, 4, 8, 8, 4, 4, 4, 4, 8, 4, 8, 4])
  ('lift', '-775,-109,442', 3): выживших 256 (N=[12, 12, 12, 12, 4, 4, 8, 8, 4, 4, 4, 4, 8, 4, 8, 4])
  ('lift', '-775,-109,775', 3): выживших 256 (N=[12, 12, 12, 12, 12, 4, 8, 8, 4, 4, 4, 4, 8, 4, 8, 4])
  ('lift', '-775,109,775', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 8, 8, 4, 4, 4, 4, 8, 4, 8, 4])
  ('lift', '-442,-333,-109', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 24, 8, 4, 4, 4, 4, 8, 4, 8, 4])
  ('lift', '-442,-333,109', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 24, 24, 4, 4, 4, 4, 8, 4, 8, 4])
  ('lift', '-442,-333,442', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 24, 24, 12, 4, 4, 4, 8, 4, 8, 4])
  ('lift', '-442,109,775', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 24, 24, 12, 12, 4, 4, 8, 4, 8, 4])
  ('lift', '-442,333,442', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 24, 24, 12, 12, 12, 4, 8, 4, 8, 4])
  ('lift', '-442,442,775', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 24, 24, 12, 12, 12, 12, 8, 4, 8, 4])
  ('lift', '-109,333,442', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 24, 24, 12, 12, 12, 12, 24, 4, 8, 4])
  ('lift', '-109,333,775', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 24, 24, 12, 12, 12, 12, 24, 12, 8, 4])
  ('lift', '109,333,442', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 24, 24, 12, 12, 12, 12, 24, 12, 24, 4])
  ('lift', '109,333,775', 3): выживших 256 (N=[12, 12, 12, 12, 12, 12, 24, 24, 12, 12, 12, 12, 24, 12, 24, 12])
  ('lift', '-775,-442,442', 2): выживших 256 (N=[24, 12, 12, 12, 12, 12, 24, 24, 12, 12, 12, 12, 24, 12, 24, 12])
  ('lift', '-775,-333,-109', 2): выживших 256 (N=[24, 24, 12, 12, 12, 12, 24, 24, 12, 12, 12, 12, 24, 12, 24, 12])
  ('lift', '-775,-333,109', 2): выживших 256 (N=[24, 24, 24, 12, 12, 12, 24, 24, 12, 12, 12, 12, 24, 12, 24, 12])
  ('lift', '-775,-109,442', 2): выживших 256 (N=[24, 24, 24, 24, 12, 12, 24, 24, 12, 12, 12, 12, 24, 12, 24, 12])
  ('lift', '-775,-109,775', 2): выживших 256 (N=[24, 24, 24, 24, 24, 12, 24, 24, 12, 12, 12, 12, 24, 12, 24, 12])
  ('lift', '-775,109,775', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 24, 24, 12, 12, 12, 12, 24, 12, 24, 12])
  ('lift', '-442,-333,-109', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 48, 24, 12, 12, 12, 12, 24, 12, 24, 12])
  ('lift', '-442,-333,109', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 48, 48, 12, 12, 12, 12, 24, 12, 24, 12])
  ('lift', '-442,-333,442', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 48, 48, 24, 12, 12, 12, 24, 12, 24, 12])
  ('lift', '-442,109,775', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 48, 48, 24, 24, 12, 12, 24, 12, 24, 12])
  ('lift', '-442,333,442', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 48, 48, 24, 24, 24, 12, 24, 12, 24, 12])
  ('lift', '-442,442,775', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 48, 48, 24, 24, 24, 24, 24, 12, 24, 12])
  ('lift', '-109,333,442', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 48, 48, 24, 24, 24, 24, 48, 12, 24, 12])
  ('lift', '-109,333,775', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 48, 48, 24, 24, 24, 24, 48, 24, 24, 12])
  ('lift', '109,333,442', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 48, 48, 24, 24, 24, 24, 48, 24, 48, 12])
  ('lift', '109,333,775', 2): выживших 256 (N=[24, 24, 24, 24, 24, 24, 48, 48, 24, 24, 24, 24, 48, 24, 48, 24])
  ('lift', '-775,-442,442', 2): выживших 256 (N=[48, 24, 24, 24, 24, 24, 48, 48, 24, 24, 24, 24, 48, 24, 48, 24])
  ('lift', '-775,-333,-109', 2): выживших 256 (N=[48, 48, 24, 24, 24, 24, 48, 48, 24, 24, 24, 24, 48, 24, 48, 24])
  ('lift', '-775,-333,109', 2): выживших 256 (N=[48, 48, 48, 24, 24, 24, 48, 48, 24, 24, 24, 24, 48, 24, 48, 24])
  ('lift', '-775,-109,442', 2): выживших 256 (N=[48, 48, 48, 48, 24, 24, 48, 48, 24, 24, 24, 24, 48, 24, 48, 24])
  ('lift', '-775,-109,775', 2): выживших 256 (N=[48, 48, 48, 48, 48, 24, 48, 48, 24, 24, 24, 24, 48, 24, 48, 24])
  ('lift', '-775,109,775', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 48, 48, 24, 24, 24, 24, 48, 24, 48, 24])
  ('lift', '-442,-333,-109', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 96, 48, 24, 24, 24, 24, 48, 24, 48, 24])
  ('lift', '-442,-333,109', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 96, 96, 24, 24, 24, 24, 48, 24, 48, 24])
  ('lift', '-442,-333,442', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 96, 96, 48, 24, 24, 24, 48, 24, 48, 24])
  ('lift', '-442,109,775', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 96, 96, 48, 48, 24, 24, 48, 24, 48, 24])
  ('lift', '-442,333,442', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 96, 96, 48, 48, 48, 24, 48, 24, 48, 24])
  ('lift', '-442,442,775', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 96, 96, 48, 48, 48, 48, 48, 24, 48, 24])
  ('lift', '-109,333,442', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 96, 96, 48, 48, 48, 48, 96, 24, 48, 24])
  ('lift', '-109,333,775', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 96, 96, 48, 48, 48, 48, 96, 48, 48, 24])
  ('lift', '109,333,442', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 96, 96, 48, 48, 48, 48, 96, 48, 96, 24])
  ('lift', '109,333,775', 2): выживших 256 (N=[48, 48, 48, 48, 48, 48, 96, 96, 48, 48, 48, 48, 96, 48, 96, 48])
  ('lift', '-775,-442,442', 5): выживших 256 (N=[240, 48, 48, 48, 48, 48, 96, 96, 48, 48, 48, 48, 96, 48, 96, 48])
  ('lift', '-775,-333,-109', 5): выживших 256 (N=[240, 240, 48, 48, 48, 48, 96, 96, 48, 48, 48, 48, 96, 48, 96, 48])
  ('lift', '-775,-333,109', 5): выживших 256 (N=[240, 240, 240, 48, 48, 48, 96, 96, 48, 48, 48, 48, 96, 48, 96, 48])
  ('lift', '-775,-109,442', 5): выживших 256 (N=[240, 240, 240, 240, 48, 48, 96, 96, 48, 48, 48, 48, 96, 48, 96, 48])
  ('lift', '-775,-109,775', 5): выживших 256 (N=[240, 240, 240, 240, 240, 48, 96, 96, 48, 48, 48, 48, 96, 48, 96, 48])
  ('lift', '-775,109,775', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 96, 96, 48, 48, 48, 48, 96, 48, 96, 48])
  ('lift', '-442,-333,-109', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 480, 96, 48, 48, 48, 48, 96, 48, 96, 48])
  ('lift', '-442,-333,109', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 480, 480, 48, 48, 48, 48, 96, 48, 96, 48])
  ('lift', '-442,-333,442', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 480, 480, 240, 48, 48, 48, 96, 48, 96, 48])
  ('lift', '-442,109,775', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 480, 480, 240, 240, 48, 48, 96, 48, 96, 48])
  ('lift', '-442,333,442', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 480, 480, 240, 240, 240, 48, 96, 48, 96, 48])
  ('lift', '-442,442,775', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 480, 480, 240, 240, 240, 240, 96, 48, 96, 48])
  ('lift', '-109,333,442', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 480, 480, 240, 240, 240, 240, 480, 48, 96, 48])
  ('lift', '-109,333,775', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 480, 480, 240, 240, 240, 240, 480, 240, 96, 48])
  ('lift', '109,333,442', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 480, 480, 240, 240, 240, 240, 480, 240, 480, 48])
  ('lift', '109,333,775', 5): выживших 256 (N=[240, 240, 240, 240, 240, 240, 480, 480, 240, 240, 240, 240, 480, 240, 480, 240])
