  p=3 pair 0/1383 {'tested': 660, 'passed': 31, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 31, 'N2_viol': 0} 0s
  p=3 pair 100/1383 {'tested': 66550, 'passed': 3018, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 3018, 'N2_viol': 0} 2s
  p=3 pair 200/1383 {'tested': 132411, 'passed': 5944, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 5944, 'N2_viol': 0} 5s
  p=3 pair 300/1383 {'tested': 198192, 'passed': 8929, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 8929, 'N2_viol': 0} 7s
  p=3 pair 400/1383 {'tested': 263605, 'passed': 11793, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 11975, 'N2_viol': 0} 10s
  p=3 pair 500/1383 {'tested': 329043, 'passed': 14529, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 14987, 'N2_viol': 0} 12s
  p=3 pair 600/1383 {'tested': 394595, 'passed': 17411, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 18490, 'N2_viol': 0} 15s
  p=3 pair 700/1383 {'tested': 460381, 'passed': 20402, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 22106, 'N2_viol': 0} 17s
  p=3 pair 800/1383 {'tested': 526231, 'passed': 23421, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 25511, 'N2_viol': 0} 20s
  p=3 pair 900/1383 {'tested': 592075, 'passed': 26419, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 28979, 'N2_viol': 0} 22s
  p=3 pair 1000/1383 {'tested': 657947, 'passed': 29420, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 32526, 'N2_viol': 0} 24s
  p=3 pair 1100/1383 {'tested': 723798, 'passed': 32425, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 35937, 'N2_viol': 0} 27s
  p=3 pair 1200/1383 {'tested': 789595, 'passed': 35410, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 38922, 'N2_viol': 0} 29s
  p=3 pair 1300/1383 {'tested': 855456, 'passed': 38335, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 41847, 'N2_viol': 0} 32s
p=3 DONE pairs=1383 {'tested': 909480, 'passed': 40765, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 44300, 'N2_viol': 0} 34s
  p=7 pair 0/1673 {'tested': 660, 'passed': 21, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 0, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 21, 'N2_viol': 0} 0s
  p=7 pair 100/1673 {'tested': 66572, 'passed': 3073, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 1202, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 3073, 'N2_viol': 0} 3s
  p=7 pair 200/1673 {'tested': 132504, 'passed': 5775, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 2041, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 5775, 'N2_viol': 0} 5s
  p=7 pair 300/1673 {'tested': 198339, 'passed': 8275, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 2663, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 8310, 'N2_viol': 0} 7s
  p=7 pair 400/1673 {'tested': 264126, 'passed': 10314, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 2851, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 10358, 'N2_viol': 0} 10s
  p=7 pair 500/1673 {'tested': 329735, 'passed': 12721, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 3347, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 13145, 'N2_viol': 0} 12s
  p=7 pair 600/1673 {'tested': 395341, 'passed': 15251, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 3884, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 16198, 'N2_viol': 0} 15s
  p=7 pair 700/1673 {'tested': 461068, 'passed': 17535, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 4614, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 18760, 'N2_viol': 0} 17s
  p=7 pair 800/1673 {'tested': 526946, 'passed': 19859, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 5253, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 21581, 'N2_viol': 0} 20s
  p=7 pair 900/1673 {'tested': 592908, 'passed': 22342, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 6152, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 24447, 'N2_viol': 0} 22s
  p=7 pair 1000/1673 {'tested': 658814, 'passed': 24423, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 6710, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 26781, 'N2_viol': 0} 25s
  p=7 pair 1100/1673 {'tested': 724667, 'passed': 27098, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 7264, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 29918, 'N2_viol': 0} 27s
  p=7 pair 1200/1673 {'tested': 790599, 'passed': 29985, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 7997, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 33305, 'N2_viol': 0} 30s
