p=3 k=1 m=0: {'total': 9, 'EXCL': 4, 'PASS': 1, 'UND': 4, 'PASS_not_target': 0, 'UND_not_target': 4, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=1 m=1: {'total': 8, 'EXCL': 8, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=1 m=2: {'total': 8, 'EXCL': 8, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=1 m=3: {'total': 8, 'EXCL': 8, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=1 m=4: {'total': 8, 'EXCL': 8, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=1 m=5: {'total': 8, 'EXCL': 8, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=1 m=6: {'total': 8, 'EXCL': 8, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=1 m=7: {'total': 8, 'EXCL': 8, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=1 m=8: {'total': 8, 'EXCL': 8, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=2 m=0: {'total': 81, 'EXCL': 72, 'PASS': 9, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=2 m=1: {'total': 72, 'EXCL': 72, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
