{'k': '1/48', 'status': 'excluded', 'triples_tried': 10}
{'k': '1/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '1/46', 'status': 'excluded', 'triples_tried': 1}
{'k': '1/45', 'status': 'excluded', 'triples_tried': 10}
{'k': '1/44', 'status': 'excluded', 'triples_tried': 2}
{'k': '1/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '1/42', 'status': 'excluded', 'triples_tried': 10}
{'k': '1/41', 'status': 'excluded', 'triples_tried': 7}
{'k': '1/40', 'status': 'excluded', 'triples_tried': 20}
{'k': '1/39', 'status': 'unresolved', 'triples_tried': 56}
{'k': '1/38', 'status': 'excluded', 'triples_tried': 2}
{'k': '1/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '1/36', 'status': 'excluded', 'triples_tried': 1}
{'k': '1/35', 'status': 'excluded', 'triples_tried': 1}
{'k': '1/34', 'status': 'excluded', 'triples_tried': 1}
{'k': '1/33', 'status': 'excluded', 'triples_tried': 2}
{'k': '1/32', 'status': 'excluded', 'triples_tried': 1}
{'k': '1/31', 'status': 'excluded', 'triples_tried': 1}
{'k': '1/30', 'status': 'excluded', 'triples_tried': 10}
{'k': '1/29', 'status': 'unresolved', 'triples_tried': 56}
{'k': '1/28', 'status': 'excluded', 'triples_tried': 7}
{'k': '1/27', 'status': 'excluded', 'triples_tried': 2}
{'k': '1/26', 'status': 'excluded', 'triples_tried': 1}
{'k': '1/25', 'status': 'excluded', 'triples_tried': 1}
{'k': '2/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '2/45', 'status': 'excluded', 'triples_tried': 1}
{'k': '2/43', 'status': 'excluded', 'triples_tried': 2}
{'k': '2/41', 'status': 'excluded', 'triples_tried': 1}
{'k': '2/39', 'status': 'excluded', 'triples_tried': 1}
{'k': '2/37', 'status': 'excluded', 'triples_tried': 10}
{'k': '2/35', 'status': 'excluded', 'triples_tried': 7}
{'k': '2/33', 'status': 'excluded', 'triples_tried': 2}
{'k': '3/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '2/31', 'status': 'excluded', 'triples_tried': 1}
{'k': '3/46', 'status': 'excluded', 'triples_tried': 1}
{'k': '3/44', 'status': 'excluded', 'triples_tried': 1}
{'k': '2/29', 'status': 'excluded', 'triples_tried': 7}
{'k': '3/43', 'status': 'excluded', 'triples_tried': 10}
{'k': '3/41', 'status': 'excluded', 'triples_tried': 2}
{'k': '2/27', 'status': 'excluded', 'triples_tried': 7}
{'k': '3/40', 'status': 'excluded', 'triples_tried': 2}
{'k': '3/38', 'status': 'excluded', 'triples_tried': 1}
{'k': '2/25', 'status': 'excluded', 'triples_tried': 2}
{'k': '3/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '4/47', 'status': 'excluded', 'triples_tried': 7}
{'k': '3/35', 'status': 'excluded', 'triples_tried': 7}
{'k': '3/34', 'status': 'excluded', 'triples_tried': 2}
{'k': '4/45', 'status': 'excluded', 'triples_tried': 1}
{'k': '4/43', 'status': 'excluded', 'triples_tried': 2}
{'k': '3/32', 'status': 'excluded', 'triples_tried': 7}
{'k': '3/31', 'status': 'excluded', 'triples_tried': 1}
{'k': '4/41', 'status': 'excluded', 'triples_tried': 1}
{'k': '4/39', 'status': 'excluded', 'triples_tried': 1}
{'k': '3/29', 'status': 'excluded', 'triples_tried': 20}
{'k': '5/48', 'status': 'excluded', 'triples_tried': 2}
{'k': '5/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '3/28', 'status': 'excluded', 'triples_tried': 1}
{'k': '4/37', 'status': 'excluded', 'triples_tried': 10}
{'k': '5/46', 'status': 'excluded', 'triples_tried': 7}
{'k': '5/44', 'status': 'excluded', 'triples_tried': 1}
{'k': '4/35', 'status': 'excluded', 'triples_tried': 1}
{'k': '3/26', 'status': 'unresolved', 'triples_tried': 56}
{'k': '5/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '5/42', 'status': 'excluded', 'triples_tried': 2}
{'k': '3/25', 'status': 'excluded', 'triples_tried': 10}
{'k': '4/33', 'status': 'unresolved', 'triples_tried': 56}
{'k': '5/41', 'status': 'excluded', 'triples_tried': 2}
{'k': '6/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '5/39', 'status': 'excluded', 'triples_tried': 2}
{'k': '4/31', 'status': 'excluded', 'triples_tried': 2}
{'k': '5/38', 'status': 'excluded', 'triples_tried': 1}
{'k': '5/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '4/29', 'status': 'unresolved', 'triples_tried': 56}
{'k': '5/36', 'status': 'excluded', 'triples_tried': 1}
{'k': '6/43', 'status': 'unresolved', 'triples_tried': 56}
{'k': '7/48', 'status': 'excluded', 'triples_tried': 1}
{'k': '6/41', 'status': 'excluded', 'triples_tried': 7}
{'k': '5/34', 'status': 'excluded', 'triples_tried': 1}
{'k': '4/27', 'status': 'excluded', 'triples_tried': 1}
{'k': '7/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '5/33', 'status': 'excluded', 'triples_tried': 7}
