{'k': '1/39', 'status': 'excluded', 'quartics_tried': 10}
{'k': '1/29', 'status': 'excluded', 'quartics_tried': 10}
{'k': '3/26', 'status': 'excluded', 'quartics_tried': 21}
{'k': '4/33', 'status': 'excluded', 'quartics_tried': 10}
{'k': '4/29', 'status': 'excluded', 'quartics_tried': 10}
{'k': '6/43', 'status': 'excluded', 'quartics_tried': 21}
{'k': '7/34', 'status': 'excluded', 'quartics_tried': 10}
{'k': '11/46', 'status': 'excluded', 'quartics_tried': 28}
{'k': '10/41', 'status': 'excluded', 'quartics_tried': 28}
{'k': '13/40', 'status': 'excluded', 'quartics_tried': 43}
{'k': '15/46', 'status': 'excluded', 'quartics_tried': 22}
{'k': '13/38', 'status': 'excluded', 'quartics_tried': 22}
{'k': '11/30', 'status': 'excluded', 'quartics_tried': 28}
{'k': '17/43', 'status': 'excluded', 'quartics_tried': 10}
{'k': '12/29', 'status': 'excluded', 'quartics_tried': 28}
{'k': '13/31', 'status': 'excluded', 'quartics_tried': 43}
{'k': '22/45', 'status': 'excluded', 'quartics_tried': 10}
{'k': '23/45', 'status': 'excluded', 'quartics_tried': 21}
{'k': '18/35', 'status': 'excluded', 'quartics_tried': 10}
{'k': '14/25', 'status': 'excluded', 'quartics_tried': 22}
{'k': '27/47', 'status': 'excluded', 'quartics_tried': 10}
{'k': '18/31', 'status': 'excluded', 'quartics_tried': 21}
{'k': '23/38', 'status': 'excluded', 'quartics_tried': 22}
{'k': '22/35', 'status': 'excluded', 'quartics_tried': 28}
{'k': '19/30', 'status': 'excluded', 'quartics_tried': 10}
{'k': '25/39', 'status': 'excluded', 'quartics_tried': 22}
{'k': '25/38', 'status': 'excluded', 'quartics_tried': 50}
{'k': '31/44', 'status': 'excluded', 'quartics_tried': 28}
{'k': '29/41', 'status': 'excluded', 'quartics_tried': 21}
{'k': '22/31', 'status': 'excluded', 'quartics_tried': 21}
{'k': '30/41', 'status': 'excluded', 'quartics_tried': 21}
{'k': '31/41', 'status': 'excluded', 'quartics_tried': 10}
{'k': '28/37', 'status': 'excluded', 'quartics_tried': 10}
{'k': '35/46', 'status': 'excluded', 'quartics_tried': 10}
{'k': '33/43', 'status': 'excluded', 'quartics_tried': 10}
{'k': '24/31', 'status': 'excluded', 'quartics_tried': 21}
{'k': '26/33', 'status': 'excluded', 'quartics_tried': 10}
{'k': '27/34', 'status': 'excluded', 'quartics_tried': 10}
{'k': '38/45', 'status': 'excluded', 'quartics_tried': 10}
{'k': '37/43', 'status': 'excluded', 'quartics_tried': 50}
{'k': '25/29', 'status': 'excluded', 'quartics_tried': 22}
{'k': '29/33', 'status': 'excluded', 'quartics_tried': 10}
{'k': '23/26', 'status': 'excluded', 'quartics_tried': 10}
{'k': '33/37', 'status': 'excluded', 'quartics_tried': 43}
{'k': '40/43', 'status': 'unresolved', 'quartics_tried': 70}
{'k': '28/29', 'status': 'excluded', 'quartics_tried': 28}
{'k': '29/30', 'status': 'excluded', 'quartics_tried': 37}
{'k': '38/39', 'status': 'excluded', 'quartics_tried': 10}
{'k': '41/42', 'status': 'excluded', 'quartics_tried': 43}
{'remaining': ['40/43'], 'models': 838}
