[0s] 108/301: точек всего 660, нарушений 0
[0s] 140/319: точек всего 1440, нарушений 0
[0s] 143/206: точек всего 2460, нарушений 0
[1s] 197/325: точек всего 3480, нарушений 0
[1s] 19/221: точек всего 4320, нарушений 0
[1s] 204/247: точек всего 5220, нарушений 0
[1s] 211/230: точек всего 6660, нарушений 0
[1s] 231/250: точек всего 7080, нарушений 0
[1s] 237/317: точек всего 8280, нарушений 0
[2s] 251/308: точек всего 9120, нарушений 0
[2s] 265/298: точек всего 10380, нарушений 0
[2s] 43/278: точек всего 11640, нарушений 0
[2s] 61/217: точек всего 12360, нарушений 0
[3s] 65/261: точек всего 13380, нарушений 0
[3s] 96/211: точек всего 14640, нарушений 0
итог: 14640 проверок, нарушений 0; min запас нижней стороны / log K = 0.380, верхней / log L = 0.476
