[0s] 108/301: подтверждено 7/7; M0 совпал: 7; корни B совпали: 7
[0s] 140/319: подтверждено 11/11; M0 совпал: 11; корни B совпали: 11
[0s] 143/206: подтверждено 13/13; M0 совпал: 13; корни B совпали: 13
[1s] 197/325: подтверждено 13/13; M0 совпал: 13; корни B совпали: 13
[1s] 19/221: подтверждено 10/10; M0 совпал: 10; корни B совпали: 10
[1s] 204/247: подтверждено 11/11; M0 совпал: 11; корни B совпали: 11
[1s] 211/230: подтверждено 18/18; M0 совпал: 18; корни B совпали: 18
[1s] 231/250: подтверждено 5/5; M0 совпал: 5; корни B совпали: 5
[1s] 237/317: подтверждено 15/15; M0 совпал: 15; корни B совпали: 15
[2s] 251/308: подтверждено 9/9; M0 совпал: 9; корни B совпали: 9
[2s] 265/298: подтверждено 17/17; M0 совпал: 17; корни B совпали: 17
[2s] 43/278: подтверждено 15/15; M0 совпал: 15; корни B совпали: 15
[3s] 61/217: подтверждено 7/7; M0 совпал: 7; корни B совпали: 7
[3s] 65/261: подтверждено 11/11; M0 совпал: 11; корни B совпали: 11
[3s] 96/211: подтверждено 15/15; M0 совпал: 15; корни B совпали: 15
готово
